20:51 transferreSP: skill issue
20:51 JGamesSP    : yes
21:44 C2gl      : ah en btw jules voor de chest unnacesible tijdens pvp
21:44 C2gl      : zie dat je je chest claimt xd
21:44 JGamesSP  : aah
21:44 C2gl      : tis daardoor xd
21:44 C2gl      : per minuut dat je speelt krijg je normaal extra claims
21:50 C2gl      : begin je nu werkelijk te spelen ?
21:50 C2gl      : dan reset ik effe je AR stats
21:50 JGamesSP  : ja doe ma
21:50 C2gl      : top
21:50 JGamesSP  : want ja die spawn bouwe wel is andere keer af
21:51 C2gl      : idd
21:51 C2gl      : want ugh xd
21:51 C2gl      : we hebben een minimum viable product xd, da is goe genoeg xd
21:52 C2gl      : soort zoekt soort ;)
21:53 JGamesSP  : i mean
21:53 JGamesSP  : ja
21:53 C2gl      : :rofl:
21:54 C2gl      : pain xd
22:00 C2gl      : ging je nie pitten xd?
22:00 JGamesSP  : ja
22:00 C2gl      : xdddd
22:00 JGamesSP  : ik moet ook al een uur pisse
22:00 JGamesSP  : ma wil ni rechtsan
22:00 C2gl      : hahahahahha
22:01 JGamesSP  : is da een probleem?
22:01 JGamesSP  : zeker
22:01 C2gl      : nahhh xd
22:01 JGamesSP  : gaan we da verandere?
22:01 C2gl      : de gamerfles xd
22:01 JGamesSP  : absoluut nniet
22:02 C2gl      : xd
22:02 C2gl      : ah ja, t'is ook niet alzof je veel te doen hebt morgen xd?
22:02 C2gl      : moet ik de server door de dag laaten draaien ?
22:03 C2gl      : ?
